"user_id","payment_month","total_revenue","previous_paid_month","next_paid_month","next_calendar_month","previous_calendar_month","previous_paid_month_revenue","new_mrr","new_paid_users","churn_revenue","churn_users","churn_month","expansion_revenue","contraction_revenue","user_id","game_name","language","has_older_device_model","age"
"06RPvlsFPCmM9ag+iSM/Ag==",2022-04-01 00:00:00.000 +0300,12.03,,2022-05-01 00:00:00.000 +0300,2022-05-01,2022-03-01,,12.03,1,,,,,,,,,,
"06RPvlsFPCmM9ag+iSM/Ag==",2022-05-01 00:00:00.000 +0300,28.32,2022-04-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,12.03,,,,,,16.29,,,,,,
"06RPvlsFPCmM9ag+iSM/Ag==",2022-06-01 00:00:00.000 +0300,29.07,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,28.32,,,,,,0.75,,,,,,
"06RPvlsFPCmM9ag+iSM/Ag==",2022-07-01 00:00:00.000 +0300,25.23,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,29.07,,,,,,,-3.84,,,,,
"06RPvlsFPCmM9ag+iSM/Ag==",2022-08-01 00:00:00.000 +0300,18.9,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,25.23,,,,,,,-6.33,,,,,
"06RPvlsFPCmM9ag+iSM/Ag==",2022-09-01 00:00:00.000 +0300,48.72,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,18.9,,,,,,29.82,,,,,,
"06RPvlsFPCmM9ag+iSM/Ag==",2022-10-01 00:00:00.000 +0300,25.74,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,48.72,,,,,,,-22.98,,,,,
"06RPvlsFPCmM9ag+iSM/Ag==",2022-11-01 00:00:00.000 +0200,39.78,2022-10-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,25.74,,,39.78,1,2022-12-01,14.04,,,,,,
"0A5RkQrm+GBgG7KSFk/xhw==",2022-05-01 00:00:00.000 +0300,13.8,,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,,13.8,1,,,,,,,,,,
"0A5RkQrm+GBgG7KSFk/xhw==",2022-06-01 00:00:00.000 +0300,48.21,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,13.8,,,,,,34.41,,,,,,
"0A5RkQrm+GBgG7KSFk/xhw==",2022-07-01 00:00:00.000 +0300,52.77,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,48.21,,,,,,4.56,,,,,,
"0A5RkQrm+GBgG7KSFk/xhw==",2022-08-01 00:00:00.000 +0300,40.83,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,52.77,,,,,,,-11.94,,,,,
"0A5RkQrm+GBgG7KSFk/xhw==",2022-09-01 00:00:00.000 +0300,35.49,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,40.83,,,,,,,-5.34,,,,,
"0A5RkQrm+GBgG7KSFk/xhw==",2022-10-01 00:00:00.000 +0300,35.73,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,35.49,,,,,,0.24,,,,,,
"0A5RkQrm+GBgG7KSFk/xhw==",2022-11-01 00:00:00.000 +0200,72.93,2022-10-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,35.73,,,72.93,1,2022-12-01,37.20,,,,,,
"0afix9qVNfU3GJY1n0QGkw==",2022-09-01 00:00:00.000 +0300,32.28,,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,,32.28,1,,,,,,,,,,
"0afix9qVNfU3GJY1n0QGkw==",2022-10-01 00:00:00.000 +0300,13.23,2022-09-01 00:00:00.000 +0300,,2022-11-01,2022-09-01,32.28,,,13.23,1,2022-11-01,,-19.05,,,,,
"0dJXy70SFjxVR6YgOPZzMQ==",2022-11-01 00:00:00.000 +0200,17.19,,,2022-12-01,2022-10-01,,17.19,1,17.19,1,2022-12-01,,,,,,,
"14RMzQMoG017OLkaDBFjng==",2022-07-01 00:00:00.000 +0300,14.43,,2022-11-01 00:00:00.000 +0200,2022-08-01,2022-06-01,,14.43,1,14.43,1,2022-08-01,,,,,,,
"14RMzQMoG017OLkaDBFjng==",2022-11-01 00:00:00.000 +0200,12.75,2022-07-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,14.43,,,12.75,1,2022-12-01,,,,,,,
"1BBMagZRq/39AV1l2rm4Iw==",2022-08-01 00:00:00.000 +0300,89.04,,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,,89.04,1,,,,,,,,,,
"1BBMagZRq/39AV1l2rm4Iw==",2022-09-01 00:00:00.000 +0300,34.8,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,89.04,,,,,,,-54.24,,,,,
"1BBMagZRq/39AV1l2rm4Iw==",2022-10-01 00:00:00.000 +0300,55.80,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,34.8,,,,,,21.00,,,,,,
"1BBMagZRq/39AV1l2rm4Iw==",2022-11-01 00:00:00.000 +0200,148.14,2022-10-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,55.80,,,148.14,1,2022-12-01,92.34,,,,,,
"1dvc3uv3gFy83YY5oJeFkQ==",2022-08-01 00:00:00.000 +0300,45.93,,,2022-09-01,2022-07-01,,45.93,1,45.93,1,2022-09-01,,,,,,,
"1jx1AjqUwE9sbCyafQnUNQ==",2022-06-01 00:00:00.000 +0300,56.13,,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,,56.13,1,,,,,,,,,,
"1jx1AjqUwE9sbCyafQnUNQ==",2022-07-01 00:00:00.000 +0300,16.29,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,56.13,,,,,,,-39.84,,,,,
"1jx1AjqUwE9sbCyafQnUNQ==",2022-08-01 00:00:00.000 +0300,21.18,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,16.29,,,,,,4.89,,,,,,
"1jx1AjqUwE9sbCyafQnUNQ==",2022-09-01 00:00:00.000 +0300,13.71,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,21.18,,,,,,,-7.47,,,,,
"1jx1AjqUwE9sbCyafQnUNQ==",2022-10-01 00:00:00.000 +0300,46.98,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,13.71,,,,,,33.27,,,,,,
"1jx1AjqUwE9sbCyafQnUNQ==",2022-11-01 00:00:00.000 +0200,20.13,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,46.98,,,,,,,-26.85,,,,,
"1jx1AjqUwE9sbCyafQnUNQ==",2022-12-01 00:00:00.000 +0200,38.37,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,20.13,,,38.37,1,2023-01-01,18.24,,,,,,
"1KzlDBp5hORL7Y5PBaB+0g==",2022-09-01 00:00:00.000 +0300,58.20,,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,,58.20,1,,,,,,,,,,
"1KzlDBp5hORL7Y5PBaB+0g==",2022-10-01 00:00:00.000 +0300,77.19,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,58.20,,,,,,18.99,,,,,,
"1KzlDBp5hORL7Y5PBaB+0g==",2022-11-01 00:00:00.000 +0200,63.27,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,77.19,,,,,,,-13.92,,,,,
"1KzlDBp5hORL7Y5PBaB+0g==",2022-12-01 00:00:00.000 +0200,21.72,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,63.27,,,21.72,1,2023-01-01,,-41.55,,,,,
"1tIsLi6U0zW1RIuaViNanA==",2022-09-01 00:00:00.000 +0300,33.36,,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,,33.36,1,,,,,,,,,,
"1tIsLi6U0zW1RIuaViNanA==",2022-10-01 00:00:00.000 +0300,29.25,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,33.36,,,,,,,-4.11,,,,,
